Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
91908;Bonita;CA;33.016.928;-116.846.046;-8;1;33.016928,-116.846046
24265;Keokee;VA;36.851.769;-8.293.593;-5;1;36.851769,-82.93593
95630;Folsom;CA;38.672.127;-12.115.783;-8;1;38.672127,-121.15783
24574;Monroe;VA;37.576.208;-7.926.133;-5;1;37.576208,-79.26133
25107;Hernshaw;WV;38.211.477;-8.160.468;-5;1;38.211477,-81.60468
93460;Santa Ynez;CA;34.626.931;-1.200.661;-8;1;34.626931,-120.0661
955;San Juan;PR;18.410.462;-66.060.533;-4;0;18.410462,-66.060533
11782;Sayville;NY;40.739.869;-7.307.198;-5;1;40.739869,-73.07198
63744;Delta;MO;37.197.279;-89.739.429;-6;1;37.197279,-89.739429
50623;Dewar;IA;42.526.943;-9.221.802;-6;1;42.526943,-92.21802
47933;Crawfordsville;IN;40.034.554;-8.689.143;-5;0;40.034554,-86.89143
47986;Templeton;IN;40.512.643;-8.720.706;-5;0;40.512643,-87.20706
48438;Goodrich;MI;42.911.611;-8.348.421;-5;1;42.911611,-83.48421
30703;Calhoun;GA;34.479.066;-84.762.161;-5;1;34.479066,-84.762161
37042;Clarksville;TN;3.658.068;-874.056;-6;1;36.58068,-87.4056
38135;Memphis;TN;35.232.085;-8.985.214;-6;1;35.232085,-89.85214
38334;Finger;TN;35.357.639;-8.860.089;-6;1;35.357639,-88.60089
47576;Saint Croix;IN;3.819.297;-8.660.853;-5;0;38.19297,-86.60853
79605;Abilene;TX;32.432.975;-9.977.096;-6;1;32.432975,-99.77096
80125;Littleton;CO;39.479.365;-10.506.708;-7;1;39.479365,-105.06708
80214;Denver;CO;39.745.526;-10.506.251;-7;1;39.745526,-105.06251
83204;Pocatello;ID;42.847.727;-11.250.329;-7;1;42.847727,-112.50329
62036;Golden Eagle;IL;3.891.384;-9.057.421;-6;1;38.91384,-90.57421
62836;Ewing;IL;38.096.551;-8.882.763;-6;1;38.096551,-88.82763
71460;Negreet;LA;31.448.907;-93.621.234;-6;1;31.448907,-93.621234
73074;Paoli;OK;34.831.083;-972.718;-6;1;34.831083,-97.2718
67543;Haven;KS;37.898.787;-9.779.101;-6;1;37.898787,-97.79101
68841;Giltner;NE;40.769.633;-9.816.372;-6;1;40.769633,-98.16372
70659;Rosepine;LA;30.921.274;-9.328.194;-6;1;30.921274,-93.28194
75640;Diana;TX;32.723.482;-9.469.544;-6;1;32.723482,-94.69544
89005;Boulder City;NV;35.968.615;-11.483.354;-8;1;35.968615,-114.83354
17876;Shamokin Dam;PA;40.845.896;-7.682.241;-5;1;40.845896,-76.82241
17933;Friedensburg;PA;40.602.141;-7.624.143;-5;1;40.602141,-76.24143
17970;Saint Clair;PA;40.718.586;-7.619.111;-5;1;40.718586,-76.19111
19191;Philadelphia;PA;40.001.811;-7.511.787;-5;1;40.001811,-75.11787
21619;Chester;MD;38.949.536;-7.628.063;-5;1;38.949536,-76.28063
15265;Pittsburgh;PA;40.434.436;-80.024.817;-5;1;40.434436,-80.024817
11484;Jamaica;NY;40.651.378;-73.870.779;-5;1;40.651378,-73.870779
11531;Garden City;NY;40.754.757;-73.601.772;-5;1;40.754757,-73.601772
12430;Fleischmanns;NY;42.183.262;-7.452.154;-5;1;42.183262,-74.52154
16912;Blossburg;PA;41.676.922;-770.616;-5;1;41.676922,-77.0616
17502;Bainbridge;PA;40.095.995;-7.666.707;-5;1;40.095995,-76.66707
44301;Akron;OH;41.043.955;-8.151.919;-5;1;41.043955,-81.51919
